barcode,author_last_name,year,checkouts,division,n_pages
12970323,Gomes,1994,0,HSS,95
12675203,Goldsby,1979,2,MNS,91
17696832,Gould,1967,0,HSS,161
16872020,Caamano,2012,1,MNS,42
16223893,Chetney,2010,0,HSS,86
12936712,Carlson,1982,0,PRPL,338
12638102,Cochran,1940,0,MNS,65
15442684,Carlson,2004,0,HSS,280
12637765,Colistro,1947,0,MNS,20
12561114,Pardini,1984,7,PRPL,125
12628608,Peck,1988,3,HSS,107
14470819,Perry,2001,1,MNS,42
12526125,Phillips,1948,1,PRPL,168
12526364,Phillips,1975,4,HSS,68
15703200,Platt,2006,2,MNS,83
16561508,Sandercock,2011,1,HSS,58
13029962,Shankar,1993,2,MNS,20
17767039,Sarac,2018,0,LL,30
16231557,Sharma,2009,3,LL,52
16227894,Schneider,2010,1,LL,60
12590626,Siegel,1981,0,PRPL,130
14964753,Schwartz,2001,3,HSS,99
17568858,Shnell,2017,0,LL,51
12678579,Watson,1961,6,MNS,49
17004342,Wall,2012,1,MNS,26
15704547,Wilkinson,1953,0,MNS,52
15169113,Webster,2002,2,MNS,61
14184253,Wirtz,1963,1,HSS,60
17155243,Wise,2013,0,HSS,90
15861461,kapteyn,2007,0,LL,90
13109152,kearney,1992,0,PRPL,169
16545097,kastrul,2011,0,MNS,62
12669834,kay,1979,1,MNS,114
12678876,karplus,1971,6,MNS,59
12575577,ratliff,1984,1,PRPL,118
17139098,puett,2013,0,HSS,52
16314924,polcuch,1948,0,MNS,16
17160169,purtzer,2013,0,HSS,42
17344375,persans,1989,0,PRPL,73
15689359,steinborn,1968,0,MNS,40
14741060,smith-carlile,1999,2,MNS,51
12595732,stewart,1975,2,HSS,121
12591442,smith,1964,2,ART,60
15689995,tan,1984,0,MNS,79
12670972,costley,1951,0,MNS,53
12968798,dercum,1994,1,LL,87
15495344,donehower,2004,1,PRPL,120
17354523,del guidice,2014,2,MNS,84
13997069,crosby,1995,2,PRPL,88
12970315,gitzendanner,1994,1,MNS,36
12658034,garrison,1966,0,ART,33
17354671,galper,2014,6,HSS,77
15586373,gies,2005,0,HSS,57
17431370,gopalaswammy,2015,2,MNS,69
15862253,moyers,2007,4,MNS,64
17262106,nelson,2016,1,LL,56
14307706,mitchell,1971,2,MNS,76
12565917,muir,1942,2,HSS,84
17357070,naranjo-rivera,2014,2,HSS,53
11740578,allison,1982,1,HSS,156
11741519,azzouz,1978,1,ART,24
15151772,aktipis,2002,0,PRPL,124
16520785,anderson,2005,0,HSS,48
11740743,allen,1973,4,PRPL,78
12623559,lee,1947,0,HSS,126
17794611,lu,2019,0,HSS,72
17356460,lyman,2014,2,MNS,41
12670186,listerud,1984,1,MNS,87
17564808,li,2017,1,HSS,55
15496896,Parke,2004,2,PRPL,124
16989626,Pastan,2012,1,PRPL,47
12565594,Pedersen,1968,2,HSS,118
17344375,Persans,1989,0,PRPL,73
12526364,Phillips,1975,3,HSS,68
12107587,Tivenan,1975,2,HSS,105
12679254,Tivey,1938,1,MNS,43
15169289,Taylor,2002,2,MNS,26
15842578,Taber,1969,0,HSS,40
16468696,Sumner,2010,1,MNS,38
12342622,Strasser,1966,7,HSS,86
12936712,"Carlson, Stuple",1982,0,PRPL,338
14735039,Campbell,1999,1,MNS,23
15087679,Case,1952,6,HSS,190
16564247,Chan,2009,3,HSS,70
16223893,Chetney,2010,0,HSS,86
14488003,Cooper,1998,7,HSS,91
16233454,Connell,2009,2,HSS,145
12651642,Cohen,1934,3,HSS,173
15020837,Clegg,1976,0,LL,269
17761545,Christ,2018,0,ART,52
13159397,Williams,1969,1,MNS,503
17718834,Murphy,1980,1,HSS,161
15020878,Murphy,1985,1,PRPL,92
15164023,Nelson,2002,3,ART,44
14955124,Nelson,2001,5,PRPL,79
12564514,Nisbet,1973,2,HSS,141
17795097,Lutsyshyna,2019,0,PRPL,76
12973491,Lutino,1994,4,Interdisciplinary,97
12670287,Long,1936,2,MNS,38
12688115,Long,1949,1,MNS,33
12616777,Kramnicz,1970,0,PRPL,43
12677936,Krane,1974,1,MNS,78
14940621,Lai,2001,1,MNS,46
12617726,Lakie,1927,3,ART,41
16271389,Latiolais,2010,2,Graduate Studies,71
12607057,Keller,1937,2,HSS,150
12453486,Jeral,1989,2,MNS,65
15267354,Joplin,1974,0,ART,100
16516072,Avishay,2011,1,LL,59
12345678,tester,1999,1,MNS,100
17796186,Semrau,2019,0,LL,42
12675823,Riley,1984,2,MNS,86
16235400,Peetz,2009,1,PRPL,83
14407969,Taylor,1989,1,LL,159
12151544,Zemlyn,1980,1,MNS,65
12118519,Youngstedt,1985,4,HSS,193
17703497,Williams,2018,0,HSS,86
12111043,Uhr,1934,1,HSS,203
17796228,Trautman,2019,0,MNS,35
16235913,Souza,2009,0,PRPL,113
17808387,Amdur,1957,1,HSS,298
16226375,Oberhelman,2010,0,LL,75
12565776,Moore,1957,0,HSS,195
13091244,Modrovich,1993,4,ART,92
12603965,Caplan,1974,0,HSS,97
12637831,Caper,1964,0,MNS,29
12072963,Brueggerman,1987,1,HSS,210
12295051,Bey,1977,1,HSS,117
14682264,Abadi,1999,10,ART,93
11737186,Baker,1985,1,ART,109
12651782,Davis,1983,8,ART,76
17354390,Eisenburg,2014,2,MNS,97
15313778,Eddings,1954,9,ART,317
12656443,Freitag,1986,0,LL,140
17562125,Galkin,2017,1,HSS,145
12671831,Hertz,1973,0,LL,69
13108196,Herron,1992,0,LL,70
14394662,Kebo,1998,0,MNS,31
12616991,Koning,1961,5,PRPL,104
16543845,Geller,2011,3,HSS,74
14600910,Marcus,1984,0,HSS,111
12556494,Michaud,1972,0,HSS,195
12110243,Washburn,1966,5,ART,508
13159397,Williams,1968,0,MNS,503
12593091,Robinson,1973,4,HSS,145
16989626,Pastan,2012,1,PRPL,47
17569138,Raduma,2017,1,MNS,54
12575627,Raabe,1979,4,LL,241
14173587,Shulman,1996,2,PRPL,50
17435926,Ringo,2015,0,LL,63
